resourceId,format,count,version,n,time,memory
67345,application/ld+json,141791,2.0.4.0,5,9.6881170272827,330
67345,application/rdf+xml,141791,2.0.4.0,5,17.802405977249,212
46266,text/turtle,350,1.10.3.0,5,0.030336046218872,6
46266,application/n-triples,350,1.10.3.0,5,0.018183183670044,2
46266,application/ld+json,350,1.10.3.0,5,0.039168834686279,2
46266,application/rdf+xml,350,1.10.3.0,5,0.063030242919922,2
105024,text/turtle,738,1.10.3.0,5,0.04021954536438,2
105024,application/n-triples,738,1.10.3.0,5,0.022754049301147,2
105024,application/ld+json,738,1.10.3.0,5,0.06453275680542,4
105024,application/rdf+xml,738,1.10.3.0,5,0.12160301208496,2
66224,text/turtle,2319,1.10.3.0,5,0.08172664642334,4
66224,application/n-triples,2319,1.10.3.0,5,0.036202383041382,2
66224,application/ld+json,2319,1.10.3.0,5,0.50035738945007,8
66224,application/rdf+xml,2319,1.10.3.0,5,0.36645836830139,4
105858,text/turtle,4521,1.10.3.0,5,0.16329216957092,4
105858,application/n-triples,4521,1.10.3.0,5,0.059985542297363,2
105858,application/ld+json,4521,1.10.3.0,5,0.27771801948547,12
105858,application/rdf+xml,4521,1.10.3.0,5,0.95373039245605,8
46441,text/turtle,16253,1.10.3.0,5,0.55012860298157,12
46441,application/n-triples,16253,1.10.3.0,5,0.17630743980408,4
46441,application/ld+json,16253,1.10.3.0,5,0.96508088111877,40
46441,application/rdf+xml,16253,1.10.3.0,5,8.4354380130768,26
75232,text/turtle,51279,1.10.3.0,5,1.7229260444641,69
75232,application/n-triples,51279,1.10.3.0,5,0.52248558998108,12
75232,application/ld+json,51279,1.10.3.0,5,3.072439956665,124
75232,application/rdf+xml,51279,1.10.3.0,5,34.994575548172,84
67345,text/turtle,141791,1.10.3.0,5,4.9720493793488,100
67345,application/n-triples,141791,1.10.3.0,5,1.8152927875519,22
67345,application/ld+json,141791,1.10.3.0,5,9.4584032058716,330
67345,application/rdf+xml,141791,1.10.3.0,5,17.619093847275,212
46266,text/turtle,350,1.9.0.0,5,0.074221706390381,6
46266,application/n-triples,350,1.9.0.0,5,0.035220718383789,2
46266,application/ld+json,350,1.9.0.0,5,0.041474866867065,2
46266,application/rdf+xml,350,1.9.0.0,5,0.069133377075195,2
105024,text/turtle,738,1.9.0.0,5,0.12416315078735,2
105024,application/n-triples,738,1.9.0.0,5,0.056131553649902,2
105024,application/ld+json,738,1.9.0.0,5,0.067376041412354,4
105024,application/rdf+xml,738,1.9.0.0,5,0.124573802948,2
